word,definition,difficulty
Dreary,"sad,gloomy,dull",medium
Dubious,"doubtful,questionable",medium
Eccentric,peculiarorodd;deviatingfromthenorm,medium
Egregious,extremelybad,medium
Eloquent,havingrefinedorexpressivecommunicationskills(inspeakingorwriting),medium
Eminent,superiorordistinguished;highinpositionorstatus,medium
Emit,"todischarge,giveforth,orrelease",medium
Emphatic,veryexpressive;usingemphasis,medium
Empirical,"derivedfromexperience,observation,oranexperiment",medium
Endow,toequiporbestow(usu.aqualityorability),medium
Endure,"towithstand,sustain,orholdoutagainst",medium
Entail,toinvolveorinclude,medium
Entrenched,firmlyestablished,medium
Enumerate,tospecifyorcount,medium
Envy,excessivejealousy,medium
Erratic,havingnofixedcourse;deviatingfromthenorm,medium
Establish,toenact,medium
Evoke,todrawforthorcallup,medium
Exacerbate,tomakeworseorincreasetheseverityof,medium
Excel,todosomethingextremelywellortobesuperiorin,medium
Exert,toputintouse(usu.aseffort),medium
Exhilarating,"invigorating,stimulating,orexciting",medium
Expend,touseup(asinenergyormoney),medium
Exploit,touseselfishlyorforprofit,medium
Facilitate,toaidtheprogressof,medium
Feasibility,thepracticalityorpossibilityofsomething,medium
Ferocity,"viciousness,violence",medium
Fiscal,relatedto(government)money,medium
Flourish,"toprosper,grow,ormakefastprogress",medium
Fluctuate,tobeunstable;toriseandfall,medium
Foment,tostirup,medium
Foreseeable,capableofbeingpredictedoranticipated,medium
Frankly,"addirectly,clearly",medium
Freewheeling,carefree,medium
Fundamental,themostessentialormostbasicpart,medium
Galvanizing,"thrilling,exciting,stimulating",medium
Geriatric,relatingtooldage,medium
Hostile,"harmful,dangerous",medium
Hypothetical,supposed;relatedtoahypothesis,medium
Ignominious,publiclyshamefulorhumiliating,medium
Impart,"totransmit,bestow,ordisclose",medium
Impartiality,theequalandobjectivetreatmentofopposingviews,medium
Imposing,impressive(esp.insizeorappearance),medium
Imposition,anunnecessaryburden,medium
Imprudent,notcautiousorprudent;rash,medium
Incite,toencourageorstirup,medium
Indifference,"apathy,emotionaldetachment",medium
Indiscriminately,adrandomly;withlittleornodistinction,medium
Indulge,togiveinto;tosatisfyorgratify,medium
Infer,"toguess,conclude,orderivebyreasoning",medium
Innovative,novelornew(esp.asanideaorinvention),medium
Insatiable,can’tbesatisfied,medium
Inversion,areversal,medium
Invoke,"tocallon;toappealto(e.g.,ahigherpower)",medium
Irreconcilable,incapableofbeinginharmonyoragreedupon,medium
Lament,tofeelsorrowfor;tomourn,medium
Locomotion,movement,medium
Lucrative,capableofmakingalotofmoney;profitable,medium
Malicious,"harmful,spiteful",medium
Malleable,capableofbeingmoldedorchanged,medium
Materialistic,superficial;focusonmaterialpossessions,medium
Melodramatic,extravagantorexaggerated(asofamelodrama),medium
Modest,simpleandhumble,medium
Modify,"tochange,alter,ortweak",medium
Momentous,historicallysignificant,medium
Novel,"new,innovative",medium
Nuance,asubtledifferenceinmeaning,medium
Null,legallyvoidandineffective,medium
Objectivity,judgmentbasedonobservationsinsteadofemotionsoropinions,medium
Obsolete,nolongerused;rareoruncommon,medium
Omnipotent,almightyandallpowerful,medium
Onset,thebeginningorearlystages,medium
Opine,toopenlyexpressanopinion,hard
Ornate,highlydetailedanddecorated,hard
Oust,toremoveorforceoutof(usu.apositionoroffice),hard
Paramount,"predominant,superior,mostimportant",hard
Peculiar,"strange,bizarre",hard
Perish,todie;topassaway,hard
Persecute,tocausesufferingto,hard
Petulant,"cranky,pouty,irritable",hard
Pinnacle,highestlevelordegree,hard
Pitiable,deservingpity,hard
Plausible,reasonableandpossiblytrue,hard
Postulate,toassert,hard
Potent,havinggreatinfluence,hard
Pragmatic,"practical,useful",hard
Precedent,anexampleorsubjectfromearlierintime,hard
Predecessor,someonewhocomesbeforeyou(usu.inpositionoroffice),hard
Prescribe,tocommandorders,hard
Principle,"basictruth,assumption,orrule",hard
Prohibit,"tocommandagainst,tooutlaw",hard
Prompt,"punctual,ontime",hard
Promulgate,toputintolaworformallydeclare,hard
Prosecute,tobringcriminalactionagainstsomeone(inatrial),hard
Provocative,"intendingtoprovoke,inspire,orarouse",hard
Qualitative,involvingqualitiesofsomething(featuresandcontent),hard
Quantitative,involvingquantities(numbersandamounts),hard
Quirk,astrangehabit,hard
Ramify,tosplitintotwoormorebranches,hard
Rash,withoutattentiontodangerorrisk,hard
Raw,unrefined,hard
Readily,adrightawayandwithoutdifficulty,hard
Reconsideration,thinkingagainaboutapreviouslymadechoice,hard
Reform,achangeforthebetter;improvement,hard
Refute,"toprovetobeuntrue,unfounded,orincorrect",hard
Reinforce,tostrengthenoraddsupportto,hard
Reluctantly,adsomewhatunwillingly,hard
Renounce,togiveup(usu.poweroraposition),hard
Reproach,tocriticize,hard
Repudiate,torefusetorecognizeastrue,hard
Retention,theactofkeepingsomething,hard
Satiated,satisfied(usu.inhunger),hard
Savvy,havingpracticalintelligenceorknowledge,hard
Scandalous,"morallyoffensive,oftencausingdamagetoone’sreputation",hard
Scorn,tolookdownonwithdisdain,hard
Scrupulous,payinggreatattentiontodetail,hard
Scrutinize,toexaminecarefullyandcritically,hard
Secrete,toproduceorrelease(asubstance),hard
Sentiment,opinion,hard
Sheer,sothinthatlightcanshinethrough,hard
Simple,easy;notcomplex,hard
Sinister,"ominous,evil",hard
Solidarity,thejoiningofcommonalitiesorcommonpurposesamongagroup,hard
Sparingly,"adinsufficiently,meagerly,orinarestrictedmanner",hard
Spawn,toreleaseeggs,hard
Spur,tostimulateorincite,hard
Squalid,"run-down,sordid,orsleazy",hard
Stark,veryplain;devoidofanydetailsorfeatures,hard
Static,motionless,hard
Subordinate,lowerinrank,hard
Subsequently,adhappeninglateroraftersomething,hard
Substantial,verylargeinamountordegree,hard
Substantiate,tostrengthenwithnewevidenceorfacts,hard
Subtle,hardtodetectoranalyze,hard
Sufficient,enough;justmeetingarequirement,hard
Surly,unfriendly;inclinedtoanger,hard
Surmount,togetontopoforovercome,hard
Susceptible,tobevulnerable(tosomething),hard
Tactful,skilledatdealingwithpeople,hard
Taut,pulledtight,hard
Teeming,abundantlyfilled(usu.withlivingorganisms),hard
Temperament,usualmoodorfeelings,hard
Tentative,notyetfinalized,hard
Transparent,see-through;sothinthatlightcanshinethrough,hard
Treacherous,dangerousandunstable,hard
Tremendous,"verylarge,good,orbadindegreeorsize",hard
Ubiquitous,beingeverywhereatonce,hard
Unadorned,"undecorated,plain",hard
Undermine,toweakenorsubvert(usu.graduallyorsecretly),hard
Underscore,toemphasizeorgiveadditionalweightto,hard
Undulate,tomoveasripplesorinawavypattern,hard
Unilateral,one-sided,hard
Unjust,unfair;notjustified,hard
Unmitigated,"downright,utter,total",hard
Unprecedented,completelynewandneverhavinghappenedbefore;historic,hard
Unveil,tomakevisible;toreveal,hard
Urge,desireorimpulse,hard
Validate,toproveordeclarevalid,hard
Viability,abilitytobedoneinapracticalorusefulway,hard
Vital,urgentlynecessary,hard
Vow,topromise,hard
Warrant,toprovetobereasonable,hard
Yield,productionofanamount,hard
